"subject","stimuli","item","list","speaker_group","response_identification","response_certainty","correct","listener_group","geq_ger_each","geq_viet_each","MISS_hybr_mean","MISS_alt_mean"
13422590,"62_VG_Fem_A.mp3",62,"list_3","bicultural viet-german","vietdeutsch",2,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"45_VG_Male_C.mp3",45,"list_3","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"23_VG_Male_D.mp3",23,"list_3","bicultural viet-german","vietdeutsch",3,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"18_VG_Fem_B.mp3",18,"list_3","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"1_VG_Male_C.mp3",1,"list_3","bicultural viet-german","vietdeutsch",2,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"4_G_Fem_D.mp3",4,"list_3","monocultural german","deutsch",3,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"33_G_Fem_A.mp3",33,"list_3","monocultural german","deutsch",3,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"47_VG_Male_B.mp3",47,"list_3","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"38_G_Male_B.mp3",38,"list_3","monocultural german","deutsch",3,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"63_VG_Male_D.mp3",63,"list_3","bicultural viet-german","deutsch",3,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"55_G_Male_B.mp3",55,"list_3","monocultural german","vietdeutsch",1,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422969,"28_VG_Fem_C.mp3",28,"list_9","bicultural viet-german","vietdeutsch",3,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"53_VG_Male_B.mp3",53,"list_9","bicultural viet-german","deutsch",2,0,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"14_G_Fem_C.mp3",14,"list_9","monocultural german","deutsch",3,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"37_VG_Male_A.mp3",37,"list_9","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"15_G_Fem_B.mp3",15,"list_9","monocultural german","vietdeutsch",3,0,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"57_G_Fem_B.mp3",57,"list_9","monocultural german","vietdeutsch",3,0,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"48_VG_Fem_C.mp3",48,"list_9","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"59_G_Fem_A.mp3",59,"list_9","monocultural german","deutsch",3,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"3_VG_Fem_C.mp3",3,"list_9","bicultural viet-german","vietdeutsch",3,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"44_G_Male_B.mp3",44,"list_9","monocultural german","deutsch",4,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"43_G_Male_C.mp3",43,"list_9","monocultural german","deutsch",3,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"18_G_Male_D.mp3",18,"list_9","monocultural german","deutsch",4,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"35_VG_Male_B.mp3",35,"list_9","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"50_VG_Fem_A.mp3",50,"list_9","bicultural viet-german","deutsch",4,0,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"51_VG_Male_D.mp3",51,"list_9","bicultural viet-german","vietdeutsch",3,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"45_G_Male_A.mp3",45,"list_9","monocultural german","vietdeutsch",2,0,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"4_VG_Fem_B.mp3",4,"list_9","bicultural viet-german","vietdeutsch",2,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"61_G_Male_D.mp3",61,"list_9","monocultural german","deutsch",4,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"62_G_Male_C.mp3",62,"list_9","monocultural german","deutsch",2,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"16_G_Fem_A.mp3",16,"list_9","monocultural german","vietdeutsch",3,0,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"30_VG_Fem_A.mp3",30,"list_9","bicultural viet-german","vietdeutsch",3,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"22_G_Male_C.mp3",22,"list_9","monocultural german","deutsch",3,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"40_G_Fem_B.mp3",40,"list_9","monocultural german","deutsch",2,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
13422969,"52_VG_Male_C.mp3",52,"list_9","bicultural viet-german","vietdeutsch",2,1,"bicultural viet-german",2.93,2.32,64.7142857142857,59.7142857142857
